# The boards this repository knows, and the MAC that identifies each. Read by
# tools/board-guard.sh so that one board's firmware cannot be written to
# another: lilly and wave are both ESP32-S3 with native USB and both appear as
# /dev/cu.usbmodem*, so the port alone says nothing about which is which.
#
# Add a board by running any flash script against it once; it prints the MAC it
# saw and how to record it.
#
# name	MAC	what it is
lilly	a0:f2:62:e2:1d:28	LilyGO T-Display-S3, 320x170 i80
wave	28:84:85:55:6e:68	Waveshare ESP32-S3-LCD-1.47B, 320x172 ST7789 SPI + QMI8658
small	68:ee:8f:da:62:28	Adafruit Feather ESP32-S3 TFT (given away 2026-09-11)
envo	28:84:85:88:1c:3c	Waveshare ESP32-S3-LCD-1.47 JD9853, 172x320 SPI + env sensor array
envio	a4:cb:8f:d7:70:3c	Waveshare ESP32-S3-Touch-LCD-3.5B, 320x480 AXS15231B QSPI + touch
watch	80:45:6b:35:11:d4	Waveshare ESP32-S3-LCD-1.69 (no touch), 240x280 ST7789V2 SPI + QMI8658 + PCF85063
